# ground truth trajectory
# file: 'rgbd_dataset_freiburg3_nostructure_texture_near_withloop_validation.bag'
# timestamp tx ty tz qx qy qz qw
1341840198.1890 -4.0837 1.3491 1.0200 -0.5213 0.7868 -0.2765 0.1807
1341840198.1984 -4.0836 1.3491 1.0195 -0.5219 0.7864 -0.2766 0.1806
1341840198.2085 -4.0837 1.3490 1.0194 -0.5229 0.7863 -0.2758 0.1797
1341840198.2184 -4.0838 1.3490 1.0194 -0.5231 0.7866 -0.2752 0.1788
1341840198.2284 -4.0838 1.3490 1.0193 -0.5236 0.7860 -0.2758 0.1789
1341840198.2384 -4.0839 1.3490 1.0195 -0.5236 0.7858 -0.2763 0.1789
1341840198.2484 -4.0839 1.3490 1.0198 -0.5234 0.7863 -0.2759 0.1781
1341840198.2585 -4.0839 1.3491 1.0196 -0.5228 0.7856 -0.2780 0.1798
1341840198.2685 -4.0840 1.3491 1.0198 -0.5228 0.7857 -0.2777 0.1796
1341840198.2790 -4.0838 1.3490 1.0198 -0.5224 0.7858 -0.2781 0.1799
1341840198.2884 -4.0837 1.3491 1.0198 -0.5223 0.7858 -0.2778 0.1806
1341840198.2984 -4.0838 1.3492 1.0198 -0.5221 0.7861 -0.2772 0.1803
1341840198.3085 -4.0836 1.3492 1.0195 -0.5217 0.7860 -0.2779 0.1811
1341840198.3185 -4.0837 1.3492 1.0194 -0.5222 0.7863 -0.2766 0.1805
1341840198.3285 -4.0837 1.3493 1.0192 -0.5226 0.7866 -0.2755 0.1798
1341840198.3385 -4.0837 1.3499 1.0190 -0.5210 0.7877 -0.2753 0.1800
1341840198.3484 -4.0837 1.3500 1.0193 -0.5215 0.7883 -0.2734 0.1785
1341840198.3585 -4.0834 1.3496 1.0192 -0.5214 0.7874 -0.2754 0.1794
1341840198.3684 -4.0835 1.3496 1.0188 -0.5214 0.7861 -0.2782 0.1811
1341840198.3785 -4.0836 1.3496 1.0188 -0.5214 0.7859 -0.2789 0.1811
1341840198.3885 -4.0835 1.3496 1.0188 -0.5211 0.7860 -0.2788 0.1813
1341840198.3984 -4.0837 1.3495 1.0188 -0.5230 0.7847 -0.2788 0.1812
1341840198.4084 -4.0834 1.3499 1.0186 -0.5211 0.7855 -0.2798 0.1823
1341840198.4185 -4.0833 1.3500 1.0186 -0.5208 0.7859 -0.2790 0.1824
1341840198.4284 -4.0838 1.3510 1.0183 -0.5198 0.7876 -0.2768 0.1816
1341840198.4384 -4.0838 1.3511 1.0181 -0.5200 0.7874 -0.2768 0.1818
1341840198.4485 -4.0840 1.3512 1.0179 -0.5200 0.7880 -0.2754 0.1809
1341840198.4584 -4.0840 1.3512 1.0176 -0.5203 0.7880 -0.2751 0.1806
1341840198.4684 -4.0841 1.3513 1.0174 -0.5206 0.7881 -0.2747 0.1799
1341840198.4784 -4.0841 1.3514 1.0176 -0.5211 0.7888 -0.2729 0.1785
1341840198.4884 -4.0841 1.3514 1.0175 -0.5211 0.7885 -0.2736 0.1786
1341840198.4984 -4.0841 1.3514 1.0175 -0.5210 0.7886 -0.2736 0.1785
1341840198.5084 -4.0841 1.3514 1.0172 -0.5204 0.7877 -0.2760 0.1802
1341840198.5185 -4.0841 1.3514 1.0173 -0.5203 0.7879 -0.2758 0.1802
1341840198.5287 -4.0840 1.3514 1.0172 -0.5201 0.7879 -0.2758 0.1805
1341840198.5384 -4.0840 1.3515 1.0171 -0.5202 0.7881 -0.2752 0.1804
1341840198.5497 -4.0840 1.3515 1.0170 -0.5201 0.7883 -0.2749 0.1804
1341840198.5584 -4.0843 1.3521 1.0170 -0.5187 0.7905 -0.2719 0.1792
1341840198.5684 -4.0840 1.3510 1.0173 -0.5237 0.7873 -0.2720 0.1788
1341840198.5784 -4.0843 1.3522 1.0170 -0.5189 0.7906 -0.2714 0.1791
1341840198.5885 -4.0843 1.3523 1.0169 -0.5191 0.7905 -0.2714 0.1791
1341840198.5984 -4.0840 1.3512 1.0172 -0.5239 0.7872 -0.2719 0.1784
1341840198.6085 -4.0842 1.3523 1.0169 -0.5190 0.7903 -0.2723 0.1788
1341840198.6184 -4.0838 1.3519 1.0171 -0.5207 0.7887 -0.2734 0.1790
1341840198.6284 -4.0836 1.3518 1.0172 -0.5207 0.7884 -0.2741 0.1792
1341840198.6384 -4.0837 1.3518 1.0173 -0.5206 0.7885 -0.2739 0.1793
1341840198.6505 -4.0835 1.3519 1.0174 -0.5206 0.7883 -0.2744 0.1797
1341840198.6585 -4.0835 1.3519 1.0174 -0.5205 0.7884 -0.2743 0.1798
1341840198.6684 -4.0835 1.3514 1.0176 -0.5233 0.7868 -0.2736 0.1795
1341840198.6784 -4.0833 1.3521 1.0175 -0.5202 0.7886 -0.2740 0.1801
1341840198.6884 -4.0833 1.3515 1.0176 -0.5234 0.7868 -0.2732 0.1800
1341840198.6984 -4.0832 1.3522 1.0176 -0.5203 0.7890 -0.2729 0.1798
1341840198.7099 -4.0831 1.3522 1.0176 -0.5206 0.7889 -0.2725 0.1800
1341840198.7186 -4.0830 1.3522 1.0178 -0.5204 0.7889 -0.2728 0.1798
1341840198.7285 -4.0830 1.3523 1.0179 -0.5202 0.7889 -0.2732 0.1799
1341840198.7384 -4.0831 1.3523 1.0180 -0.5208 0.7884 -0.2737 0.1797
1341840198.7519 -4.0829 1.3523 1.0181 -0.5204 0.7888 -0.2736 0.1794
1341840198.7585 -4.0826 1.3521 1.0181 -0.5202 0.7881 -0.2753 0.1802
1341840198.7685 -4.0826 1.3522 1.0184 -0.5204 0.7879 -0.2756 0.1802
1341840198.7785 -4.0825 1.3522 1.0186 -0.5205 0.7881 -0.2751 0.1799
1341840198.7884 -4.0824 1.3521 1.0186 -0.5205 0.7880 -0.2752 0.1801
1341840198.7984 -4.0824 1.3521 1.0186 -0.5203 0.7881 -0.2753 0.1801
1341840198.8084 -4.0821 1.3520 1.0187 -0.5206 0.7879 -0.2751 0.1804
1341840198.8184 -4.0820 1.3521 1.0187 -0.5204 0.7882 -0.2745 0.1806
1341840198.8285 -4.0819 1.3521 1.0188 -0.5204 0.7882 -0.2745 0.1807
1341840198.8385 -4.0819 1.3521 1.0189 -0.5204 0.7883 -0.2741 0.1806
1341840198.8485 -4.0818 1.3521 1.0191 -0.5201 0.7884 -0.2742 0.1808
1341840198.8588 -4.0816 1.3521 1.0193 -0.5201 0.7882 -0.2745 0.1811
1341840198.8684 -4.0816 1.3520 1.0195 -0.5201 0.7883 -0.2745 0.1809
1341840198.8786 -4.0815 1.3521 1.0197 -0.5196 0.7883 -0.2753 0.1813
1341840198.8884 -4.0809 1.3506 1.0201 -0.5230 0.7852 -0.2773 0.1816
1341840198.8984 -4.0810 1.3512 1.0200 -0.5215 0.7864 -0.2770 0.1814
1341840198.9084 -4.0814 1.3514 1.0198 -0.5219 0.7867 -0.2762 0.1801
1341840198.9187 -4.0813 1.3514 1.0197 -0.5226 0.7864 -0.2758 0.1799
1341840198.9284 -4.0811 1.3508 1.0197 -0.5245 0.7856 -0.2752 0.1789
1341840198.9384 -4.0812 1.3513 1.0195 -0.5235 0.7868 -0.2742 0.1783
1341840198.9484 -4.0812 1.3514 1.0195 -0.5236 0.7869 -0.2739 0.1781
1341840198.9585 -4.0812 1.3513 1.0195 -0.5237 0.7869 -0.2737 0.1778
1341840198.9684 -4.0811 1.3514 1.0195 -0.5232 0.7872 -0.2740 0.1778
1341840198.9784 -4.0810 1.3515 1.0197 -0.5232 0.7870 -0.2740 0.1785
1341840198.9885 -4.0811 1.3520 1.0197 -0.5213 0.7881 -0.2740 0.1792
1341840198.9985 -4.0809 1.3521 1.0199 -0.5213 0.7874 -0.2751 0.1806
1341840199.0084 -4.0809 1.3515 1.0202 -0.5225 0.7862 -0.2761 0.1805
1341840199.0185 -4.0804 1.3511 1.0204 -0.5226 0.7857 -0.2771 0.1813
1341840199.0285 -4.0804 1.3511 1.0204 -0.5225 0.7857 -0.2771 0.1812
1341840199.0385 -4.0803 1.3512 1.0204 -0.5224 0.7860 -0.2769 0.1809
1341840199.0485 -4.0803 1.3511 1.0204 -0.5226 0.7859 -0.2768 0.1806
1341840199.0585 -4.0805 1.3514 1.0203 -0.5227 0.7864 -0.2757 0.1797
1341840199.0684 -4.0803 1.3514 1.0201 -0.5231 0.7861 -0.2759 0.1797
1341840199.0785 -4.0805 1.3513 1.0200 -0.5234 0.7865 -0.2750 0.1788
1341840199.0884 -4.0803 1.3513 1.0200 -0.5237 0.7863 -0.2749 0.1788
1341840199.0984 -4.0802 1.3515 1.0199 -0.5236 0.7863 -0.2750 0.1790
1341840199.1084 -4.0801 1.3516 1.0200 -0.5238 0.7860 -0.2751 0.1793
1341840199.1185 -4.0801 1.3515 1.0202 -0.5240 0.7858 -0.2754 0.1795
1341840199.1311 -4.0802 1.3517 1.0202 -0.5240 0.7856 -0.2756 0.1800
1341840199.1384 -4.0797 1.3513 1.0204 -0.5237 0.7848 -0.2773 0.1812
1341840199.1489 -4.0795 1.3514 1.0205 -0.5240 0.7845 -0.2777 0.1816
1341840199.1603 -4.0797 1.3514 1.0206 -0.5239 0.7846 -0.2776 0.1814
1341840199.1686 -4.0795 1.3514 1.0205 -0.5241 0.7842 -0.2782 0.1816
1341840199.1787 -4.0796 1.3514 1.0206 -0.5242 0.7845 -0.2773 0.1811
1341840199.1885 -4.0798 1.3517 1.0203 -0.5246 0.7846 -0.2768 0.1807
1341840199.1984 -4.0798 1.3517 1.0201 -0.5246 0.7850 -0.2762 0.1799
1341840199.2085 -4.0798 1.3516 1.0200 -0.5249 0.7851 -0.2757 0.1792
1341840199.2186 -4.0799 1.3516 1.0198 -0.5250 0.7853 -0.2753 0.1785
1341840199.2284 -4.0799 1.3516 1.0197 -0.5251 0.7849 -0.2760 0.1790
1341840199.2384 -4.0799 1.3517 1.0197 -0.5252 0.7852 -0.2754 0.1785
1341840199.2492 -4.0800 1.3518 1.0197 -0.5250 0.7852 -0.2755 0.1788
1341840199.2584 -4.0800 1.3517 1.0197 -0.5251 0.7851 -0.2755 0.1790
1341840199.2684 -4.0800 1.3523 1.0197 -0.5235 0.7862 -0.2749 0.1796
1341840199.2802 -4.0799 1.3524 1.0196 -0.5234 0.7859 -0.2755 0.1803
1341840199.2885 -4.0800 1.3525 1.0196 -0.5235 0.7858 -0.2755 0.1803
1341840199.2985 -4.0800 1.3523 1.0196 -0.5238 0.7858 -0.2751 0.1799
1341840199.3085 -4.0800 1.3524 1.0194 -0.5239 0.7859 -0.2750 0.1794
1341840199.3185 -4.0801 1.3524 1.0195 -0.5243 0.7863 -0.2740 0.1780
1341840199.3285 -4.0798 1.3512 1.0195 -0.5273 0.7841 -0.2752 0.1774
1341840199.3384 -4.0802 1.3518 1.0192 -0.5261 0.7853 -0.2747 0.1763
1341840199.3484 -4.0804 1.3523 1.0189 -0.5250 0.7862 -0.2741 0.1763
1341840199.3584 -4.0803 1.3518 1.0190 -0.5265 0.7851 -0.2745 0.1761
1341840199.3684 -4.0803 1.3518 1.0191 -0.5265 0.7853 -0.2741 0.1758
1341840199.3784 -4.0804 1.3518 1.0192 -0.5261 0.7853 -0.2745 0.1767
1341840199.3884 -4.0806 1.3524 1.0191 -0.5241 0.7865 -0.2743 0.1773
1341840199.4003 -4.0806 1.3525 1.0189 -0.5236 0.7860 -0.2757 0.1788
1341840199.4085 -4.0806 1.3525 1.0189 -0.5234 0.7859 -0.2760 0.1792
1341840199.4184 -4.0805 1.3524 1.0187 -0.5232 0.7858 -0.2767 0.1793
1341840199.4299 -4.0808 1.3525 1.0188 -0.5231 0.7864 -0.2757 0.1785
1341840199.4384 -4.0809 1.3525 1.0186 -0.5231 0.7866 -0.2757 0.1777
1341840199.4484 -4.0810 1.3525 1.0182 -0.5230 0.7865 -0.2763 0.1774
1341840199.4584 -4.0811 1.3519 1.0182 -0.5247 0.7857 -0.2763 0.1761
1341840199.4686 -4.0811 1.3520 1.0182 -0.5249 0.7859 -0.2758 0.1752
1341840199.4803 -4.0811 1.3520 1.0181 -0.5250 0.7857 -0.2761 0.1753
1341840199.4884 -4.0812 1.3521 1.0181 -0.5250 0.7858 -0.2762 0.1748
1341840199.4992 -4.0810 1.3521 1.0182 -0.5249 0.7857 -0.2766 0.1754
1341840199.5084 -4.0811 1.3523 1.0185 -0.5247 0.7857 -0.2767 0.1755
1341840199.5184 -4.0812 1.3525 1.0187 -0.5247 0.7857 -0.2767 0.1756
1341840199.5284 -4.0809 1.3525 1.0187 -0.5239 0.7853 -0.2786 0.1767
1341840199.5384 -4.0808 1.3526 1.0188 -0.5235 0.7854 -0.2789 0.1767
1341840199.5484 -4.0807 1.3528 1.0188 -0.5232 0.7856 -0.2792 0.1765
1341840199.5586 -4.0807 1.3529 1.0188 -0.5233 0.7860 -0.2784 0.1757
1341840199.5684 -4.0806 1.3532 1.0192 -0.5238 0.7869 -0.2762 0.1734
1341840199.5798 -4.0805 1.3533 1.0192 -0.5241 0.7868 -0.2762 0.1732
1341840199.5885 -4.0802 1.3534 1.0191 -0.5238 0.7872 -0.2762 0.1724
1341840199.5984 -4.0802 1.3538 1.0191 -0.5245 0.7868 -0.2761 0.1721
1341840199.6084 -4.0801 1.3541 1.0193 -0.5244 0.7870 -0.2761 0.1713
1341840199.6184 -4.0800 1.3542 1.0193 -0.5245 0.7868 -0.2767 0.1712
1341840199.6285 -4.0797 1.3546 1.0195 -0.5245 0.7866 -0.2771 0.1714
1341840199.6384 -4.0794 1.3544 1.0198 -0.5252 0.7858 -0.2780 0.1717
1341840199.6504 -4.0794 1.3552 1.0197 -0.5252 0.7857 -0.2781 0.1716
1341840199.6584 -4.0791 1.3555 1.0200 -0.5254 0.7855 -0.2784 0.1716
1341840199.6684 -4.0785 1.3556 1.0204 -0.5249 0.7853 -0.2798 0.1717
1341840199.6795 -4.0782 1.3562 1.0205 -0.5243 0.7854 -0.2806 0.1717
1341840199.6885 -4.0780 1.3567 1.0209 -0.5244 0.7861 -0.2794 0.1703
1341840199.6985 -4.0779 1.3581 1.0208 -0.5218 0.7879 -0.2792 0.1701
1341840199.7084 -4.0775 1.3586 1.0209 -0.5215 0.7880 -0.2798 0.1698
1341840199.7187 -4.0771 1.3591 1.0209 -0.5216 0.7878 -0.2804 0.1696
1341840199.7284 -4.0769 1.3598 1.0212 -0.5215 0.7881 -0.2798 0.1691
1341840199.7384 -4.0769 1.3610 1.0210 -0.5209 0.7888 -0.2794 0.1687
1341840199.7484 -4.0766 1.3617 1.0213 -0.5206 0.7889 -0.2793 0.1689
1341840199.7584 -4.0762 1.3630 1.0215 -0.5189 0.7894 -0.2805 0.1698
1341840199.7684 -4.0755 1.3636 1.0221 -0.5196 0.7893 -0.2800 0.1693
1341840199.7784 -4.0748 1.3638 1.0226 -0.5198 0.7886 -0.2810 0.1704
1341840199.7885 -4.0744 1.3650 1.0227 -0.5190 0.7883 -0.2827 0.1710
1341840199.7984 -4.0739 1.3662 1.0227 -0.5184 0.7885 -0.2835 0.1710
1341840199.8084 -4.0740 1.3684 1.0226 -0.5169 0.7903 -0.2816 0.1701
1341840199.8184 -4.0739 1.3697 1.0228 -0.5168 0.7908 -0.2811 0.1690
1341840199.8284 -4.0735 1.3710 1.0230 -0.5165 0.7910 -0.2815 0.1681
1341840199.8384 -4.0729 1.3723 1.0232 -0.5173 0.7907 -0.2812 0.1676
1341840199.8484 -4.0727 1.3741 1.0232 -0.5183 0.7900 -0.2813 0.1677
1341840199.8584 -4.0718 1.3751 1.0235 -0.5180 0.7898 -0.2826 0.1677
1341840199.8684 -4.0711 1.3770 1.0234 -0.5155 0.7905 -0.2846 0.1686
1341840199.8784 -4.0714 1.3793 1.0236 -0.5151 0.7912 -0.2836 0.1680
1341840199.8884 -4.0708 1.3808 1.0239 -0.5156 0.7900 -0.2856 0.1688
1341840199.8984 -4.0706 1.3828 1.0238 -0.5167 0.7889 -0.2864 0.1692
1341840199.9084 -4.0698 1.3841 1.0242 -0.5167 0.7885 -0.2875 0.1691
1341840199.9184 -4.0693 1.3861 1.0241 -0.5164 0.7886 -0.2879 0.1691
1341840199.9284 -4.0692 1.3887 1.0241 -0.5165 0.7894 -0.2856 0.1686
1341840199.9384 -4.0689 1.3907 1.0242 -0.5167 0.7900 -0.2843 0.1679
1341840199.9487 -4.0684 1.3927 1.0241 -0.5166 0.7897 -0.2849 0.1682
1341840199.9586 -4.0679 1.3942 1.0242 -0.5175 0.7888 -0.2860 0.1681
1341840199.9684 -4.0673 1.3959 1.0242 -0.5192 0.7877 -0.2863 0.1671
1341840199.9784 -4.0670 1.3979 1.0243 -0.5181 0.7884 -0.2870 0.1663
1341840199.9884 -4.0664 1.4001 1.0242 -0.5177 0.7883 -0.2880 0.1661
1341840199.9983 -4.0653 1.4019 1.0240 -0.5146 0.7888 -0.2913 0.1677
1341840200.0084 -4.0656 1.4035 1.0241 -0.5162 0.7882 -0.2905 0.1670
1341840200.0184 -4.0653 1.4051 1.0242 -0.5157 0.7887 -0.2901 0.1666
1341840200.0287 -4.0644 1.4069 1.0242 -0.5140 0.7892 -0.2914 0.1678
1341840200.0384 -4.0638 1.4085 1.0243 -0.5131 0.7898 -0.2909 0.1685
1341840200.0484 -4.0630 1.4101 1.0242 -0.5119 0.7903 -0.2910 0.1694
1341840200.0585 -4.0623 1.4113 1.0242 -0.5108 0.7913 -0.2906 0.1691
1341840200.0684 -4.0614 1.4126 1.0239 -0.5096 0.7917 -0.2909 0.1698
1341840200.0784 -4.0612 1.4139 1.0239 -0.5091 0.7926 -0.2896 0.1695
1341840200.0884 -4.0606 1.4151 1.0238 -0.5081 0.7935 -0.2890 0.1695
1341840200.0995 -4.0600 1.4165 1.0239 -0.5057 0.7953 -0.2883 0.1692
1341840200.1084 -4.0595 1.4177 1.0239 -0.5047 0.7961 -0.2881 0.1689
1341840200.1185 -4.0588 1.4187 1.0241 -0.5028 0.7971 -0.2885 0.1693
1341840200.1302 -4.0582 1.4197 1.0241 -0.5012 0.7975 -0.2896 0.1702
1341840200.1384 -4.0556 1.4195 1.0248 -0.4977 0.7967 -0.2955 0.1738
1341840200.1485 -4.0550 1.4205 1.0250 -0.4960 0.7973 -0.2961 0.1752
1341840200.1586 -4.0547 1.4222 1.0251 -0.4951 0.7983 -0.2943 0.1760
1341840200.1697 -4.0536 1.4238 1.0253 -0.4924 0.7996 -0.2945 0.1772
1341840200.1784 -4.0530 1.4252 1.0254 -0.4919 0.8004 -0.2930 0.1775
1341840200.1884 -4.0522 1.4265 1.0250 -0.4921 0.8003 -0.2924 0.1785
1341840200.1999 -4.0511 1.4279 1.0248 -0.4901 0.8012 -0.2927 0.1795
1341840200.2084 -4.0500 1.4292 1.0246 -0.4902 0.8009 -0.2934 0.1793
1341840200.2184 -4.0495 1.4307 1.0245 -0.4917 0.8011 -0.2915 0.1776
1341840200.2284 -4.0485 1.4321 1.0241 -0.4923 0.8002 -0.2930 0.1771
1341840200.2385 -4.0482 1.4332 1.0239 -0.4954 0.7990 -0.2926 0.1747
1341840200.2493 -4.0473 1.4347 1.0236 -0.4960 0.7987 -0.2936 0.1729
1341840200.2585 -4.0465 1.4360 1.0233 -0.4967 0.7984 -0.2941 0.1713
1341840200.2684 -4.0457 1.4373 1.0230 -0.4980 0.7973 -0.2953 0.1705
1341840200.2784 -4.0447 1.4389 1.0226 -0.4980 0.7971 -0.2967 0.1692
1341840200.2884 -4.0454 1.4423 1.0218 -0.4980 0.7998 -0.2910 0.1662
1341840200.2988 -4.0446 1.4438 1.0218 -0.4987 0.7998 -0.2901 0.1655
1341840200.3084 -4.0434 1.4453 1.0216 -0.4988 0.7997 -0.2902 0.1658
1341840200.3184 -4.0424 1.4468 1.0214 -0.4990 0.7997 -0.2898 0.1657
1341840200.3284 -4.0409 1.4483 1.0211 -0.4991 0.7994 -0.2900 0.1666
1341840200.3384 -4.0402 1.4504 1.0209 -0.4996 0.7998 -0.2881 0.1667
1341840200.3485 -4.0392 1.4520 1.0207 -0.5004 0.7997 -0.2869 0.1665
1341840200.3585 -4.0378 1.4531 1.0205 -0.5011 0.7995 -0.2866 0.1661
1341840200.3685 -4.0366 1.4549 1.0199 -0.4986 0.8008 -0.2873 0.1659
1341840200.3784 -4.0355 1.4565 1.0196 -0.4978 0.8016 -0.2870 0.1650
1341840200.3884 -4.0336 1.4578 1.0192 -0.4976 0.8012 -0.2887 0.1646
1341840200.3984 -4.0324 1.4599 1.0189 -0.4949 0.8032 -0.2879 0.1642
1341840200.4084 -4.0313 1.4613 1.0188 -0.4954 0.8032 -0.2876 0.1635
1341840200.4204 -4.0298 1.4619 1.0189 -0.4979 0.8015 -0.2877 0.1639
1341840200.4323 -4.0280 1.4638 1.0186 -0.4951 0.8028 -0.2885 0.1650
1341840200.4384 -4.0266 1.4656 1.0187 -0.4961 0.8026 -0.2874 0.1650
1341840200.4484 -4.0247 1.4674 1.0187 -0.4949 0.8036 -0.2863 0.1653
1341840200.4584 -4.0231 1.4695 1.0186 -0.4923 0.8046 -0.2866 0.1676
1341840200.4684 -4.0214 1.4713 1.0183 -0.4912 0.8052 -0.2864 0.1685
1341840200.4784 -4.0191 1.4721 1.0184 -0.4931 0.8034 -0.2875 0.1697
1341840200.4885 -4.0177 1.4740 1.0178 -0.4924 0.8042 -0.2865 0.1697
1341840200.4984 -4.0157 1.4754 1.0175 -0.4927 0.8040 -0.2868 0.1688
1341840200.5085 -4.0146 1.4774 1.0169 -0.4915 0.8061 -0.2846 0.1659
1341840200.5184 -4.0121 1.4785 1.0164 -0.4912 0.8061 -0.2857 0.1654
1341840200.5304 -4.0098 1.4794 1.0159 -0.4926 0.8052 -0.2862 0.1648
1341840200.5384 -4.0083 1.4809 1.0153 -0.4934 0.8047 -0.2865 0.1643
1341840200.5485 -4.0064 1.4829 1.0148 -0.4923 0.8060 -0.2848 0.1639
1341840200.5584 -4.0044 1.4846 1.0142 -0.4915 0.8059 -0.2856 0.1654
1341840200.5684 -4.0022 1.4861 1.0138 -0.4910 0.8064 -0.2852 0.1654
1341840200.5784 -3.9998 1.4872 1.0131 -0.4924 0.8053 -0.2857 0.1659
1341840200.5885 -3.9981 1.4889 1.0122 -0.4911 0.8063 -0.2851 0.1655
1341840200.5984 -3.9960 1.4900 1.0119 -0.4932 0.8054 -0.2847 0.1645
1341840200.6084 -3.9935 1.4918 1.0112 -0.4903 0.8071 -0.2850 0.1641
1341840200.6184 -3.9913 1.4926 1.0110 -0.4914 0.8067 -0.2847 0.1633
1341840200.6284 -3.9891 1.4942 1.0100 -0.4912 0.8073 -0.2838 0.1625
1341840200.6384 -3.9849 1.4942 1.0094 -0.4864 0.8076 -0.2896 0.1653
1341840200.6485 -3.9826 1.4956 1.0087 -0.4858 0.8087 -0.2883 0.1643
1341840200.6584 -3.9800 1.4971 1.0080 -0.4831 0.8101 -0.2887 0.1641
1341840200.6685 -3.9780 1.4983 1.0076 -0.4835 0.8106 -0.2875 0.1629
1341840200.6784 -3.9753 1.4994 1.0071 -0.4812 0.8113 -0.2889 0.1635
1341840200.6884 -3.9732 1.5010 1.0063 -0.4803 0.8117 -0.2889 0.1641
1341840200.6984 -3.9699 1.5020 1.0058 -0.4784 0.8124 -0.2897 0.1649
1341840200.7084 -3.9677 1.5030 1.0055 -0.4785 0.8130 -0.2887 0.1636
1341840200.7186 -3.9652 1.5054 1.0049 -0.4737 0.8163 -0.2871 0.1641
1341840200.7285 -3.9631 1.5066 1.0045 -0.4732 0.8168 -0.2865 0.1637
1341840200.7395 -3.9603 1.5081 1.0045 -0.4710 0.8176 -0.2872 0.1649
1341840200.7485 -3.9584 1.5093 1.0043 -0.4720 0.8167 -0.2881 0.1651
1341840200.7584 -3.9561 1.5104 1.0036 -0.4707 0.8165 -0.2901 0.1660
1341840200.7684 -3.9538 1.5119 1.0034 -0.4670 0.8182 -0.2918 0.1651
